"i1","i2","i3","m",
0,0,0,0.000132275132275132,
1,0,0,0.199965447410537,
0,1,0,0.30005614940559,
0,0,1,0.499978403183873,
2,0,0,0.0545290015208742,
1,1,0,0.0545415172853748,
0,2,0,0.109129646824997,
1,0,1,0.0908949286042885,
0,1,1,0.136384985295218,
0,0,2,0.272698489284366,
3,0,0,0.0181754654766054,
2,1,0,0.0136328704025781,
1,2,0,0.0181824882454903,
0,3,0,0.0454764840836959,
2,0,1,0.0227206656416907,
1,1,1,0.0227261586373063,
0,2,1,0.0454706744958105,
1,0,2,0.0454481043252915,
0,1,2,0.0681881521621015,
0,0,3,0.159062232796973,
3,1,0,0.00419439309552271,
2,2,0,0.00419494436522135,
1,3,0,0.00699397697038308,
3,0,1,0.00699040321871836,
2,1,1,0.00524353294183408,
1,2,1,0.0069935669098859,
0,3,1,0.0174918175309605,
2,0,2,0.0104867294811382,
1,1,2,0.0104890587855863,
0,2,2,0.0209852900549641,
1,0,3,0.024472316058567,
0,1,3,0.0367138033215511,
3,2,0,0.00119839010171102,
2,3,0,0.0014982834703684,
3,1,1,0.00149798547641445,
2,2,1,0.00149827079314192,
1,3,1,0.0024980484628315,
3,0,2,0.00299590103836149,
2,1,2,0.00224727667227771,
1,2,2,0.00299724765391247,
0,3,2,0.00749627383591775,
2,0,3,0.00524355177049901,
1,1,3,0.00524453445939614,
0,2,3,0.0104917685651338,
3,3,0,0.000399462333339024,
3,2,1,0.000399475921784253,
2,3,1,0.000499471932769603,
3,1,2,0.000599202041752951,
2,2,2,0.000599322938588067,
1,3,2,0.000999225782011363,
3,0,3,0.00139811898739342,
2,1,3,0.00104875169193669,
1,2,3,0.00139869893331304,
0,3,3,0.00349799466024707,
3,3,1,0.000124841497306634,
3,2,2,0.000149808465904834,
2,3,2,0.000187307367895084,
3,1,3,0.000262155052869126,
2,2,3,0.000262207104788149,
1,3,3,0.000437152014072605,
3,3,2,4.40638916384462e-05,
3,2,3,6.16871028984944e-05,
2,3,3,7.71269140447185e-05,
3,3,3,1.71363578585739e-05,
